IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-2-5,F-1-2-6,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-2-5,F-2-2-6
176.26.250.210,100,35,TRUE,2018/6/19 05:51,R_3njUsHrvTFCas86,,,,,52.08329773,1.166702271,anonymous,EN,9.888,12.319,13.358,6,Prime Minister 2,16.23,19.168,21.164,5,Prime Minister 2,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Gender,Male,Minister's Scandal,Misreporting Funds,Neutral,Conservative Party,Male,No Scandal,EU Integration,Neutral,Party Affiliation,Labour Party,Gender,Female,Minister's Scandal,No Scandal,Oppose EU Integration,Labour Party,Female,No Scandal,Scandal,Plagiarism,Minister's Partisanship,Conservative Party,Having an Extranarital Affair,Liberal Democrats,Scandal,Misreporting Funds,Minister's Partisanship,Labour Party,Sexual Harassment,Labour Party
82.132.233.8,100,45,TRUE,2018/6/19 05:51,R_2b0FcPvblugEChU,,,,,51.49639893,-0.122406006,anonymous,EN,1.82,26.222,27.892,4,Prime Minister 2,13.97,15.021,15.98,3,Prime Minister 2,Minister's Partisanship,Conservative Party,Gender,Male,Scandal,No Scandal,Party Affiliation,Conservative Party,Conservative Party,Female,Having an Extranarital Affair,Conservative Party,Minister's Partisanship,Labour Party,Gender,Female,Scandal,Misreporting Funds,Party Affiliation,Labour Party,Liberal Democrats,Male,Plagiarism,Conservative Party,Minister's Scandal,Misreporting Funds,EU Integration,Support EU Integration,Sexual Harassment,Neutral,Minister's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Sexual Harassment,Oppose EU Integration
155.245.97.161,100,140,TRUE,2018/6/19 05:51,R_33vfPSVYBIzunRy,,,,,51.93649292,1.278305054,anonymous,EN,21.33,21.33,22.26,1,Prime Minister 1,122.29,122.29,123.099,1,Prime Minister 2,Scandal,Misreporting Funds,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Misreporting Funds,Conservative Party,Oppose EU Integration,Conservative Party,Scandal,Sexual Harassment,Minister's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Plagiarism,Conservative Party,Neutral,Conservative Party,Gender,Female,Minister's Scandal,Having an Extramarital Affair,Male,Having an Extramarital Affair,Gender,Male,Minister's Scandal,No Scandal,Male,Plagiarism
51.7.83.115,100,27,TRUE,2018/6/19 05:56,R_1f33BGghBUEU8FF,,,,,51.13330078,0.283294678,anonymous,EN,8.685,8.685,11.211,1,Prime Minister 1,14.493,14.493,15.236,1,Prime Minister 2,Gender,Male,Scandal,Having an Extranarital Affair,EU Integration,Neutral,Party Affiliation,Conservative Party,Female,Sexual Harassment,Support EU Integration,Conservative Party,Gender,Female,Scandal,Having an Extranarital Affair,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Male,Plagiarism,Neutral,Conservative Party,Minister's Partisanship,Conservative Party,Minister's Scandal,No Scandal,Liberal Democrats,No Scandal,Minister's Partisanship,Conservative Party,Minister's Scandal,Misreporting Funds,Liberal Democrats,Misreporting Funds
193.113.48.9,100,25,TRUE,2018/6/19 05:56,R_3Ld3c2lJfICB8rK,,,,,51.56669617,-0.016693115,anonymous,EN,10.873,10.873,12.497,1,Prime Minister 1,6.913,9.083,11.422,2,Prime Minister 1,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,Gender,Male,EU Integration,Neutral,Labour Party,Plagiarism,Female,Neutral,Party Affiliation,Labour Party,Minister's Scandal,Plagiarism,Gender,Male,EU Integration,Oppose EU Integration,Conservative Party,Having an Extramarital Affair,Female,Oppose EU Integration,Minister's Partisanship,Liberal Democrats,Scandal,Having an Extranarital Affair,Labour Party,Having an Extranarital Affair,Minister's Partisanship,Labour Party,Scandal,Having an Extranarital Affair,Liberal Democrats,Sexual Harassment
2.27.191.252,100,36,TRUE,2018/6/19 05:57,R_1mCq48S3VMtJTvV,,,,,51.88330078,0.899993896,anonymous,EN,4.017,16.744,18.746,2,Prime Minister 1,3.775,14.775,16.609,2,Prime Minister 1,Minister's Partisanship,Conservative Party,Scandal,Misreporting Funds,Minister's Scandal,No Scandal,EU Integration,Oppose EU Integration,Labour Party,Sexual Harassment,Sexual Harassment,Support EU Integration,Minister's Partisanship,Liberal Democrats,Scandal,Plagiarism,Minister's Scandal,Misreporting Funds,EU Integration,Support EU Integration,Conservative Party,No Scandal,Sexual Harassment,Neutral,Gender,Male,Party Affiliation,Conservative Party,Male,Labour Party,Gender,Male,Party Affiliation,Conservative Party,Male,Conservative Party
131.111.84.203,100,20,TRUE,2018/6/19 05:57,R_AI4SBSh8skcE6Cl,,,,,52.19999695,0.116699219,anonymous,EN,12.454,12.454,13.412,1,Prime Minister 1,4.713,4.713,5.839,1,Prime Minister 1,Minister's Partisanship,Labour Party,Scandal,Having an Extranarital Affair,Minister's Scandal,Sexual Harassment,Party Affiliation,Labour Party,Labour Party,Having an Extranarital Affair,Sexual Harassment,Labour Party,Minister's Partisanship,Labour Party,Scandal,Having an Extranarital Affair,Minister's Scandal,No Scandal,Party Affiliation,Labour Party,Conservative Party,No Scandal,No Scandal,Conservative Party,Gender,Female,EU Integration,Support EU Integration,Male,Oppose EU Integration,Gender,Female,EU Integration,Support EU Integration,Male,Oppose EU Integration
2.96.126.200,100,29,TRUE,2018/6/19 05:58,R_2dAQG0YFWlovSYZ,,,,,51.88330078,0.899993896,anonymous,EN,9.708,11.721,12.951,2,Prime Minister 2,9.626,12.835,13.959,2,Prime Minister 2,Scandal,Having an Extranarital Affair,EU Integration,Oppose EU Integration,Minister's Partisanship,Conservative Party,Minister's Scandal,Plagiarism,Sexual Harassment,Support EU Integration,Conservative Party,Misreporting Funds,Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Minister's Partisanship,Labour Party,Minister's Scandal,Plagiarism,No Scandal,Neutral,Labour Party,Misreporting Funds,Party Affiliation,Conservative Party,Gender,Female,Conservative Party,Male,Party Affiliation,Labour Party,Gender,Female,Labour Party,Male
146.200.33.46,100,22,TRUE,2018/6/19 06:04,R_3R1SWTXWua5AyEU,,,,,51.94999695,0.633300781,anonymous,EN,2.177,9.471,13.965,5,Prime Minister 1,1.1,2.401,7.118,3,Prime Minister 1,Party Affiliation,Conservative Party,Minister's Scandal,Sexual Harassment,EU Integration,Support EU Integration,Scandal,No Scandal,Conservative Party,Plagiarism,Neutral,Sexual Harassment,Party Affiliation,Conservative Party,Minister's Scandal,No Scandal,EU Integration,Support EU Integration,Scandal,Sexual Harassment,Conservative Party,Misreporting Funds,Neutral,Sexual Harassment,Minister's Partisanship,Conservative Party,Gender,Male,Conservative Party,Male,Minister's Partisanship,Liberal Democrats,Gender,Female,Conservative Party,Male
155.245.90.104,100,29,TRUE,2018/6/19 06:05,R_3NEUyW3pXI6QSoz,,,,,51.88330078,0.899993896,anonymous,EN,7.815,7.815,8.869,1,Prime Minister 2,18.411,18.411,19.203,1,Prime Minister 1,Gender,Male,EU Integration,Support EU Integration,Scandal,Having an Extranarital Affair,Party Affiliation,Labour Party,Female,Neutral,Sexual Harassment,Labour Party,Gender,Male,EU Integration,Support EU Integration,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Male,Neutral,No Scandal,Labour Party,Minister's Partisanship,Labour Party,Minister's Scandal,Sexual Harassment,Labour Party,No Scandal,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Plagiarism,Labour Party,Having an Extramarital Affair
82.27.112.20,100,32,TRUE,2018/6/19 06:08,R_3iQBaRj2bGuEStk,,,,,51.88330078,0.899993896,anonymous,EN,8.979,16.392,17.195,5,Prime Minister 1,2.626,10.584,11.674,4,Prime Minister 2,Minister's Partisanship,Liberal Democrats,EU Integration,Neutral,Party Affiliation,Conservative Party,Gender,Male,Conservative Party,Oppose EU Integration,Conservative Party,Male,Minister's Partisanship,Liberal Democrats,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Gender,Female,Labour Party,Support EU Integration,Labour Party,Female,Minister's Scandal,No Scandal,Scandal,No Scandal,Plagiarism,No Scandal,Minister's Scandal,Sexual Harassment,Scandal,Sexual Harassment,No Scandal,No Scandal
155.245.155.242,100,39,TRUE,2018/6/19 06:10,R_ZCCYXYX0Fb52HPX,,,,,51.90859985,0.920898438,anonymous,EN,1.383,12.142,13.72,5,Prime Minister 2,1.228,23.269,23.95,4,Prime Minister 2,Gender,Female,Scandal,Sexual Harassment,EU Integration,Support EU Integration,Minister's Scandal,Sexual Harassment,Female,Having an Extranarital Affair,Support EU Integration,Plagiarism,Gender,Male,Scandal,Having an Extranarital Affair,EU Integration,Neutral,Minister's Scandal,Sexual Harassment,Male,Sexual Harassment,Support EU Integration,No Scandal,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Conservative Party,Conservative Party,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Liberal Democrats,Conservative Party
85.115.54.201,100,22,TRUE,2018/6/19 06:12,R_1nSLWihsp7bubFy,,,,,51.48910522,-0.110702515,anonymous,EN,9.362,9.362,11.377,1,Prime Minister 2,9.265,9.265,10.637,1,Prime Minister 1,EU Integration,Neutral,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Oppose EU Integration,No Scandal,Conservative Party,Conservative Party,EU Integration,Oppose EU Integration,Minister's Scandal,No Scandal,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Support EU Integration,Sexual Harassment,Conservative Party,Conservative Party,Gender,Female,Scandal,No Scandal,Male,No Scandal,Gender,Female,Scandal,Having an Extranarital Affair,Male,Plagiarism
90.200.133.108,100,78,TRUE,2018/6/19 06:18,R_31nPm8c7ywHgD2k,,,,,50.8999939,-1.399993896,anonymous,EN,1.553,64.877,66.765,4,Prime Minister 2,0.949,9.982,10.658,5,Prime Minister 2,Party Affiliation,Conservative Party,Minister's Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Scandal,No Scandal,Conservative Party,No Scandal,Neutral,Having an Extranarital Affair,Party Affiliation,Conservative Party,Minister's Scandal,Sexual Harassment,EU Integration,Neutral,Scandal,No Scandal,Conservative Party,Misreporting Funds,Neutral,Having an Extranarital Affair,Minister's Partisanship,Conservative Party,Gender,Female,Liberal Democrats,Male,Minister's Partisanship,Conservative Party,Gender,Male,Conservative Party,Male
62.255.36.196,100,38,TRUE,2018/6/19 06:18,R_1Kv5ZvdQPlMPi5k,,,,,51.90859985,0.920898438,anonymous,EN,17.906,17.906,25.564,1,Prime Minister 2,9.457,9.457,11.968,1,Prime Minister 1,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,Gender,Male,EU Integration,Oppose EU Integration,Conservative Party,Plagiarism,Male,Neutral,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,Gender,Female,EU Integration,Oppose EU Integration,Labour Party,Misreporting Funds,Female,Neutral,Minister's Partisanship,Conservative Party,Scandal,No Scandal,Conservative Party,Sexual Harassment,Minister's Partisanship,Liberal Democrats,Scandal,Having an Extranarital Affair,Labour Party,Having an Extranarital Affair
2.96.125.239,100,38,TRUE,2018/6/19 06:19,R_DoOwDYOohEsmmUF,,,,,51.88330078,0.899993896,anonymous,EN,19.617,19.617,21.323,1,Prime Minister 1,15.503,15.503,16.922,1,Prime Minister 2,Minister's Scandal,Misreporting Funds,Minister's Partisanship,Liberal Democrats,Scandal,No Scandal,EU Integration,Neutral,Sexual Harassment,Labour Party,No Scandal,Neutral,Minister's Scandal,Plagiarism,Minister's Partisanship,Labour Party,Scandal,Plagiarism,EU Integration,Oppose EU Integration,No Scandal,Labour Party,Having an Extranarital Affair,Oppose EU Integration,Party Affiliation,Conservative Party,Gender,Male,Labour Party,Female,Party Affiliation,Labour Party,Gender,Female,Labour Party,Female
188.223.61.86,100,65,TRUE,2018/6/19 06:21,R_2Qy5schqohTPBFX,,,,,51.43330383,-1,anonymous,EN,1.113,32.386,33.245,4,Prime Minister 1,0.941,30.184,31.027,4,Prime Minister 2,Minister's Partisanship,Labour Party,Scandal,No Scandal,Party Affiliation,Labour Party,Gender,Female,Liberal Democrats,Plagiarism,Conservative Party,Male,Minister's Partisanship,Labour Party,Scandal,Sexual Harassment,Party Affiliation,Labour Party,Gender,Male,Conservative Party,Misreporting Funds,Conservative Party,Female,Minister's Scandal,Plagiarism,EU Integration,Neutral,Having an Extramarital Affair,Oppose EU Integration,Minister's Scandal,Misreporting Funds,EU Integration,Neutral,Having an Extramarital Affair,Support EU Integration
86.11.248.91,100,20,TRUE,2018/6/19 06:25,R_2xShy6VJFwUHHKw,,,,,51.90859985,0.920898438,anonymous,EN,6.538,10.09,10.609,5,Prime Minister 1,6.098,6.58,7.059,3,Prime Minister 2,Gender,Female,Minister's Scandal,No Scandal,Scandal,Misreporting Funds,EU Integration,Support EU Integration,Female,Plagiarism,Having an Extranarital Affair,Neutral,Gender,Male,Minister's Scandal,Plagiarism,Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Male,Misreporting Funds,Having an Extranarital Affair,Oppose EU Integration,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Conservative Party,Liberal Democrats,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Conservative Party,Liberal Democrats
81.153.144.254,100,28,TRUE,2018/6/19 06:27,R_qxW5aKUcXw04p1v,,,,,51.88330078,0.899993896,anonymous,EN,0.453,3.004,4.782,3,Prime Minister 1,1.424,7.02,21.385,4,Prime Minister 2,EU Integration,Support EU Integration,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Scandal,Having an Extranarital Affair,Support EU Integration,Liberal Democrats,Conservative Party,Plagiarism,EU Integration,Oppose EU Integration,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Scandal,Plagiarism,Support EU Integration,Liberal Democrats,Conservative Party,Sexual Harassment,Gender,Female,Minister's Scandal,Misreporting Funds,Male,Sexual Harassment,Gender,Male,Minister's Scandal,Having an Extramarital Affair,Female,No Scandal
82.132.227.159,100,14,TRUE,2018/6/19 06:27,R_322rY7a9WOEeVz5,,,,,51.6000061,-0.066696167,anonymous,EN,4.716,6.41,7.29,4,Prime Minister 1,4.135,5.723,6.536,4,Prime Minister 1,Minister's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Scandal,No Scandal,Party Affiliation,Conservative Party,Labour Party,Neutral,Misreporting Funds,Labour Party,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,Scandal,Plagiarism,Party Affiliation,Conservative Party,Labour Party,Neutral,Having an Extranarital Affair,Labour Party,Gender,Female,Minister's Scandal,No Scandal,Male,Sexual Harassment,Gender,Female,Minister's Scandal,Plagiarism,Female,Sexual Harassment
46.183.192.158,100,35,TRUE,2018/6/19 06:27,R_1OjEo3IFTgYZtRz,,,,,51.88330078,0.899993896,anonymous,EN,8.494,13.315,17.462,3,Prime Minister 1,4.239,13.371,16.39,3,Prime Minister 2,Scandal,Misreporting Funds,Minister's Scandal,No Scandal,Gender,Male,Minister's Partisanship,Labour Party,No Scandal,Misreporting Funds,Male,Liberal Democrats,Scandal,No Scandal,Minister's Scandal,Plagiarism,Gender,Male,Minister's Partisanship,Liberal Democrats,Having an Extranarital Affair,Plagiarism,Male,Labour Party,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Oppose EU Integration,Conservative Party,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Neutral,Labour Party
94.197.120.217,100,25,TRUE,2018/6/19 06:28,R_12ookXE9717Zm9d,,,,,51.51420593,-0.093093872,anonymous,EN,1.321,17.945,18.726,3,Prime Minister 1,1.187,4.65,5.367,3,Prime Minister 2,EU Integration,Oppose EU Integration,Gender,Male,Minister's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Support EU Integration,Female,Sexual Harassment,Labour Party,EU Integration,Oppose EU Integration,Gender,Male,Minister's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Neutral,Female,Plagiarism,Labour Party,Minister's Partisanship,Liberal Democrats,Scandal,Plagiarism,Labour Party,Misreporting Funds,Minister's Partisanship,Liberal Democrats,Scandal,No Scandal,Labour Party,Plagiarism
82.132.228.55,100,16,TRUE,2018/6/19 06:28,R_22ugOO552K2PY5r,,,,,53.38330078,-2.600006104,anonymous,EN,2.547,6.83,9.419,4,Prime Minister 2,1.389,2.897,7.406,4,Prime Minister 1,EU Integration,Support EU Integration,Minister's Scandal,Having an Extramarital Affair,Gender,Male,Scandal,Misreporting Funds,Support EU Integration,No Scandal,Female,Sexual Harassment,EU Integration,Oppose EU Integration,Minister's Scandal,No Scandal,Gender,Male,Scandal,Sexual Harassment,Oppose EU Integration,Plagiarism,Male,Misreporting Funds,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Labour Party,Labour Party,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Labour Party,Labour Party
155.245.29.160,100,19,TRUE,2018/6/19 06:30,R_7TCKtkES6z8ueqJ,,,,,51.90859985,0.920898438,anonymous,EN,6.551,6.551,7.923,1,Prime Minister 1,9.53,9.53,10.506,1,Prime Minister 1,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Having an Extramarital Affair,Gender,Female,Party Affiliation,Conservative Party,Labour Party,Having an Extramarital Affair,Male,Labour Party,Minister's Partisanship,Labour Party,Minister's Scandal,Sexual Harassment,Gender,Female,Party Affiliation,Labour Party,Conservative Party,Plagiarism,Female,Conservative Party,EU Integration,Neutral,Scandal,Plagiarism,Neutral,Sexual Harassment,EU Integration,Support EU Integration,Scandal,Plagiarism,Oppose EU Integration,Misreporting Funds
86.14.185.108,100,43,TRUE,2018/6/19 06:30,R_22EunkW4YKlU40W,,,,,51.88330078,0.899993896,anonymous,EN,6.81,10.106,11.924,2,Prime Minister 1,3.162,31.268,33.158,2,Prime Minister 2,EU Integration,Oppose EU Integration,Minister's Partisanship,Liberal Democrats,Minister's Scandal,No Scandal,Party Affiliation,Conservative Party,Oppose EU Integration,Labour Party,Misreporting Funds,Labour Party,EU Integration,Support EU Integration,Minister's Partisanship,Labour Party,Minister's Scandal,Misreporting Funds,Party Affiliation,Labour Party,Oppose EU Integration,Labour Party,Having an Extramarital Affair,Labour Party,Scandal,Plagiarism,Gender,Female,Misreporting Funds,Male,Scandal,Sexual Harassment,Gender,Male,No Scandal,Male
90.219.104.118,100,70,TRUE,2018/6/19 06:31,R_3HnOW23p9lzvMtl,,,,,52.08329773,1.166702271,anonymous,EN,14.244,16.536,17.051,4,Prime Minister 2,0.85,49.271,51.736,3,Prime Minister 1,Minister's Partisanship,Labour Party,Gender,Male,Scandal,Sexual Harassment,Minister's Scandal,Having an Extramarital Affair,Labour Party,Male,Plagiarism,No Scandal,Minister's Partisanship,Labour Party,Gender,Female,Scandal,Sexual Harassment,Minister's Scandal,No Scandal,Liberal Democrats,Male,Sexual Harassment,Misreporting Funds,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Neutral,Labour Party,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Oppose EU Integration,Conservative Party
151.230.144.27,100,48,TRUE,2018/6/19 06:32,R_1pPAaQnAl3fKEoN,,,,,51.93649292,1.278305054,anonymous,EN,1.322,41.797,42.457,5,Prime Minister 2,4.096,4.715,5.468,3,Prime Minister 2,Party Affiliation,Conservative Party,Gender,Male,EU Integration,Support EU Integration,Minister's Partisanship,Liberal Democrats,Labour Party,Male,Neutral,Labour Party,Party Affiliation,Conservative Party,Gender,Male,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Conservative Party,Female,Neutral,Liberal Democrats,Scandal,Misreporting Funds,Minister's Scandal,Misreporting Funds,Having an Extranarital Affair,Plagiarism,Scandal,Sexual Harassment,Minister's Scandal,Sexual Harassment,Having an Extranarital Affair,Plagiarism
155.245.62.107,100,37,TRUE,2018/6/19 06:33,R_1gIWepj4QYx7NnG,,,,,51.88330078,0.899993896,anonymous,EN,7.913,7.913,9.067,1,Prime Minister 1,20.248,20.248,21.632,1,Prime Minister 2,EU Integration,Support EU Integration,Minister's Scandal,Plagiarism,Gender,Female,Minister's Partisanship,Labour Party,Support EU Integration,Plagiarism,Female,Conservative Party,EU Integration,Oppose EU Integration,Minister's Scandal,Sexual Harassment,Gender,Male,Minister's Partisanship,Liberal Democrats,Neutral,Plagiarism,Male,Liberal Democrats,Party Affiliation,Labour Party,Scandal,Misreporting Funds,Conservative Party,Sexual Harassment,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Conservative Party,Misreporting Funds
86.11.250.124,100,17,TRUE,2018/6/19 06:36,R_1DC2KYU6pdKoiIE,,,,,51.88330078,0.899993896,anonymous,EN,8.246,8.246,9.643,1,Prime Minister 1,5.431,5.431,6.596,1,Prime Minister 2,Minister's Scandal,Having an Extramarital Affair,Scandal,Plagiarism,EU Integration,Neutral,Party Affiliation,Conservative Party,Having an Extramarital Affair,Having an Extranarital Affair,Neutral,Labour Party,Minister's Scandal,Plagiarism,Scandal,Plagiarism,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Misreporting Funds,Plagiarism,Support EU Integration,Conservative Party,Gender,Male,Minister's Partisanship,Liberal Democrats,Male,Labour Party,Gender,Female,Minister's Partisanship,Labour Party,Female,Conservative Party
82.132.240.107,100,40,TRUE,2018/6/19 06:40,R_yO5198e9YjQdHrP,,,,,52.58329773,-2.133300781,anonymous,EN,14.768,18.437,19.918,5,Prime Minister 1,17.026,17.452,18.27,3,Prime Minister 1,EU Integration,Oppose EU Integration,Minister's Partisanship,Liberal Democrats,Scandal,Having an Extranarital Affair,Party Affiliation,Conservative Party,Oppose EU Integration,Labour Party,Having an Extranarital Affair,Labour Party,EU Integration,Oppose EU Integration,Minister's Partisanship,Conservative Party,Scandal,No Scandal,Party Affiliation,Conservative Party,Oppose EU Integration,Liberal Democrats,Having an Extranarital Affair,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Gender,Male,Misreporting Funds,Male,Minister's Scandal,No Scandal,Gender,Female,Misreporting Funds,Male
165.225.80.131,100,57,TRUE,2018/6/19 06:41,R_PHhaGtyfKqURRZL,,,,,51.49639893,-0.122406006,anonymous,EN,5.128,39.407,40.666,3,Prime Minister 2,10.896,12.317,13.963,2,Prime Minister 1,Scandal,Plagiarism,Minister's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Gender,Female,No Scandal,Plagiarism,Labour Party,Male,Scandal,No Scandal,Minister's Scandal,Plagiarism,Party Affiliation,Labour Party,Gender,Male,Misreporting Funds,Sexual Harassment,Conservative Party,Male,EU Integration,Neutral,Minister's Partisanship,Liberal Democrats,Neutral,Labour Party,EU Integration,Support EU Integration,Minister's Partisanship,Labour Party,Neutral,Liberal Democrats
78.150.209.230,100,17,TRUE,2018/6/19 06:42,R_3LbtzHZxpKK4XZj,,,,,51.88330078,0.899993896,anonymous,EN,6.025,6.025,7.899,1,Prime Minister 2,7.376,7.376,8.248,1,Prime Minister 2,Minister's Partisanship,Liberal Democrats,Gender,Female,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Liberal Democrats,Male,Sexual Harassment,Conservative Party,Minister's Partisanship,Conservative Party,Gender,Female,Scandal,Plagiarism,Party Affiliation,Conservative Party,Conservative Party,Female,No Scandal,Conservative Party,EU Integration,Neutral,Minister's Scandal,Misreporting Funds,Oppose EU Integration,No Scandal,EU Integration,Neutral,Minister's Scandal,No Scandal,Oppose EU Integration,Having an Extramarital Affair
86.184.24.237,100,18,TRUE,2018/6/19 06:45,R_vBNiqiCGVP8RWrT,,,,,52.07060242,0.761901855,anonymous,EN,6.751,6.751,7.732,1,Prime Minister 1,8.582,8.582,9.737,1,Prime Minister 1,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Minister's Scandal,Misreporting Funds,Gender,Female,Conservative Party,Conservative Party,Plagiarism,Male,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Minister's Scandal,No Scandal,Gender,Female,Conservative Party,Conservative Party,Sexual Harassment,Female,EU Integration,Neutral,Scandal,Plagiarism,Support EU Integration,Misreporting Funds,EU Integration,Neutral,Scandal,Having an Extranarital Affair,Neutral,No Scandal
86.151.53.41,100,40,TRUE,2018/6/19 06:45,R_xyEiekWsWMpyVDb,,,,,51.88330078,0.899993896,anonymous,EN,2.951,23.712,24.628,4,Prime Minister 2,2.446,11.969,12.79,4,Prime Minister 2,EU Integration,Neutral,Minister's Partisanship,Conservative Party,Gender,Male,Scandal,Plagiarism,Support EU Integration,Conservative Party,Male,Having an Extranarital Affair,EU Integration,Oppose EU Integration,Minister's Partisanship,Conservative Party,Gender,Female,Scandal,Having an Extranarital Affair,Support EU Integration,Labour Party,Female,Having an Extranarital Affair,Party Affiliation,Conservative Party,Minister's Scandal,Sexual Harassment,Conservative Party,Having an Extramarital Affair,Party Affiliation,Conservative Party,Minister's Scandal,Plagiarism,Labour Party,Plagiarism
2.122.222.204,100,62,TRUE,2018/6/19 06:50,R_10UZLToKucg9sTI,,,,,51.88330078,0.899993896,anonymous,EN,19.175,33.351,35.347,6,Prime Minister 2,2.875,25.033,25.769,4,Prime Minister 1,Minister's Partisanship,Conservative Party,Scandal,Sexual Harassment,Minister's Scandal,Sexual Harassment,EU Integration,Support EU Integration,Labour Party,Misreporting Funds,No Scandal,Support EU Integration,Minister's Partisanship,Labour Party,Scandal,Having an Extranarital Affair,Minister's Scandal,Misreporting Funds,EU Integration,Neutral,Labour Party,Sexual Harassment,Misreporting Funds,Support EU Integration,Party Affiliation,Conservative Party,Gender,Male,Labour Party,Female,Party Affiliation,Labour Party,Gender,Female,Labour Party,Male
81.106.114.114,100,30,TRUE,2018/6/19 06:52,R_2y2fCsjZjNlL8wp,,,,,51.75,-0.333297729,anonymous,EN,4.635,21.075,21.894,9,Prime Minister 2,1.719,6.627,6.693,6,Prime Minister 2,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Scandal,Sexual Harassment,Neutral,Labour Party,Labour Party,Having an Extranarital Affair,EU Integration,Neutral,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Scandal,No Scandal,Neutral,Conservative Party,Conservative Party,No Scandal,Minister's Scandal,Misreporting Funds,Gender,Female,Misreporting Funds,Female,Minister's Scandal,Sexual Harassment,Gender,Male,Having an Extramarital Affair,Male
146.198.242.96,100,12,TRUE,2018/6/19 06:53,R_vT9lf4Qj4VcW6B3,,,,,51.88330078,0.899993896,anonymous,EN,3.53,5.77,6.693,4,Prime Minister 2,1.338,4.852,4.916,4,Prime Minister 1,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Gender,Male,EU Integration,Oppose EU Integration,Misreporting Funds,Labour Party,Male,Neutral,Minister's Scandal,Sexual Harassment,Party Affiliation,Labour Party,Gender,Male,EU Integration,Support EU Integration,No Scandal,Conservative Party,Female,Oppose EU Integration,Minister's Partisanship,Conservative Party,Scandal,Misreporting Funds,Labour Party,Sexual Harassment,Minister's Partisanship,Labour Party,Scandal,Plagiarism,Conservative Party,Misreporting Funds
