,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-7,F-1-1-7,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-1-2-5,F-1-2-6,F-1-2-7,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-7,F-2-1-7,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-2-2-5,F-2-2-6,F-2-2-7
93,155.245.28.10,100,32,TRUE,2018/5/29 10:11,R_3a7aKil6cxpO69X,,,,,51.90859985,0.920898438,anonymous,EN,0,0,8.224,0,14.97,14.97,16.952,1,Minister 2,6.193,6.193,7.069,1,Minister 1,PM's Partisanship,Labour Party,Gender,Female,Scandal,Plagiarism,PM's Scandal,Plagiarism,Party Affiliation,Labour Party,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Oppose EU Integration,Labour Party,Male,Plagiarism,Plagiarism,Labour Party,Oppose EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Gender,Male,Scandal,Plagiarism,PM's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,PM's Position in EU Integration,Support EU Integration,EU Integration,Neutral,Conservative Party,Male,Sexual Harassment,Sexual Harassment,Conservative Party,Neutral,Support EU Integration
94,155.245.28.11,100,35,TRUE,2018/5/30 07:05,R_ZCWuwDjI3Q7bYNX,,,,,51.90859985,0.920898438,anonymous,EN,0,0,1.928,0,5.249,5.249,6.546,1,Minister 2,8.077,24.73,26.09,3,Minister 1,PM's Scandal,Misreporting Funds,Gender,Male,Party Affiliation,Labour Party,Scandal,Plagiarism,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Labour Party,EU Integration,Neutral,Having an Extramarital Affair,Female,Labour Party,No Scandal,Neutral,Labour Party,Support EU Integration,PM's Scandal,No Scandal,Gender,Female,Party Affiliation,Labour Party,Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,PM's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Sexual Harassment,Female,Liberal Democrats,Sexual Harassment,Oppose EU Integration,Conservative Party,Support EU Integration
95,155.245.28.15,100,48,TRUE,2018/5/30 07:06,R_yDvs9Gbr4jYkDap,,,,,51.90859985,0.920898438,anonymous,EN,0,0,8.075,0,26.676,31.822,32.93,2,Minister 1,5.898,5.898,7.676,1,Minister 1,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,Gender,Male,Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Support EU Integration,Sexual Harassment,Labour Party,Male,No Scandal,Labour Party,Neutral,Support EU Integration,PM's Scandal,No Scandal,PM's Partisanship,Labour Party,Gender,Male,Scandal,Plagiarism,Party Affiliation,Labour Party,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Neutral,Sexual Harassment,Labour Party,Female,Sexual Harassment,Labour Party,Neutral,Support EU Integration
96,155.245.28.10,100,57,TRUE,2018/5/30 07:08,R_1mmIpORdKiflxA3,,,,,51.90859985,0.920898438,anonymous,EN,0,0,12.733,0,29.994,29.994,31.004,1,Minister 2,13.238,13.238,14.812,1,Minister 2,PM's Position in EU Integration,Support EU Integration,EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,PM's Scandal,Misreporting Funds,Party Affiliation,Labour Party,Scandal,No Scandal,Gender,Male,Support EU Integration,Support EU Integration,Conservative Party,Plagiarism,Liberal Democrats,Having an Extramarital Affair,Male,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,No Scandal,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Gender,Female,Neutral,Support EU Integration,Conservative Party,Plagiarism,Conservative Party,No Scandal,Male
97,155.245.28.12,100,68,TRUE,2018/5/30 07:08,R_2ZDf8QG9Szz8T2t,,,,,51.90859985,0.920898438,anonymous,EN,0,0,34.405,0,9.983,9.983,11.267,1,Minister 1,21.462,23.43,24.752,2,Minister 1,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Scandal,Plagiarism,PM's Partisanship,Labour Party,Gender,Male,PM's Position in EU Integration,Neutral,PM's Scandal,Misreporting Funds,Neutral,Liberal Democrats,Sexual Harassment,Conservative Party,Female,Support EU Integration,No Scandal,EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,Scandal,No Scandal,PM's Partisanship,Conservative Party,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,Support EU Integration,Labour Party,Having an Extramarital Affair,Labour Party,Female,Neutral,Sexual Harassment
98,155.245.28.8,100,98,TRUE,2018/5/30 07:08,R_1jCE6HfHCLCz8S6,,,,,51.90859985,0.920898438,anonymous,EN,0,0,19.208,0,30.458,30.458,34.088,1,Minister 2,33.268,33.268,48.923,1,Minister 1,Scandal,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,Gender,Male,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Plagiarism,Oppose EU Integration,Sexual Harassment,Conservative Party,Female,Liberal Democrats,Oppose EU Integration,Scandal,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,Gender,Female,Party Affiliation,Conservative Party,EU Integration,Neutral,Sexual Harassment,Oppose EU Integration,No Scandal,Labour Party,Male,Labour Party,Oppose EU Integration
99,155.245.28.4,100,72,TRUE,2018/5/30 07:10,R_pGgX2UxyH1BERwt,,,,,51.90859985,0.920898438,anonymous,EN,0,0,10.306,0,15.483,44.143,53.974,3,Minister 1,8.609,8.609,9.737,1,Minister 2,Party Affiliation,Labour Party,Scandal,Sexual Harassment,PM's Partisanship,Labour Party,PM's Scandal,Having an Extramarital Affair,Gender,Female,EU Integration,Neutral,PM's Position in EU Integration,Support EU Integration,Conservative Party,Sexual Harassment,Conservative Party,Sexual Harassment,Female,Oppose EU Integration,Neutral,Party Affiliation,Liberal Democrats,Scandal,Plagiarism,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,Gender,Female,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Oppose EU Integration,Labour Party,Having an Extramarital Affair,Labour Party,No Scandal,Female,Neutral,Support EU Integration
100,155.245.28.16,100,78,TRUE,2018/5/30 07:10,R_2wdDJRJCN8I95cM,,,,,51.90859985,0.920898438,anonymous,EN,0,0,19.222,0,31.834,31.834,33.335,1,Minister 1,26.399,26.399,27.724,1,Minister 2,PM's Partisanship,Conservative Party,Gender,Female,Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,PM's Scandal,Having an Extramarital Affair,Conservative Party,Female,Sexual Harassment,Oppose EU Integration,Support EU Integration,Conservative Party,No Scandal,PM's Partisanship,Conservative Party,Gender,Female,Scandal,Plagiarism,PM's Position in EU Integration,Neutral,EU Integration,Neutral,Party Affiliation,Liberal Democrats,PM's Scandal,Misreporting Funds,Conservative Party,Male,Misreporting Funds,Oppose EU Integration,Neutral,Liberal Democrats,Having an Extramarital Affair
101,155.245.28.9,100,47,TRUE,2018/5/30 07:10,R_exIb5M9tDaeoBzP,,,,,51.90859985,0.920898438,anonymous,EN,0,0,18.149,0,14.359,14.359,15.623,1,Minister 1,13.214,13.214,14.722,1,Minister 2,Gender,Male,EU Integration,Neutral,Scandal,Misreporting Funds,PM's Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,Party Affiliation,Conservative Party,Female,Support EU Integration,Misreporting Funds,Misreporting Funds,Labour Party,Oppose EU Integration,Labour Party,Gender,Male,EU Integration,Neutral,Scandal,Plagiarism,PM's Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Female,Oppose EU Integration,Sexual Harassment,Plagiarism,Conservative Party,Neutral,Conservative Party
102,155.245.28.17,100,94,TRUE,2018/5/30 07:11,R_8ujdWsHVw2PSGJj,,,,,51.90859985,0.920898438,anonymous,EN,0,0,42.383,0,28.403,28.403,30.431,1,Minister 1,24.018,24.018,25.702,1,Minister 1,Scandal,Plagiarism,Gender,Male,PM's Position in EU Integration,Neutral,EU Integration,Neutral,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,Having an Extramarital Affair,Male,Oppose EU Integration,Neutral,Conservative Party,Conservative Party,Misreporting Funds,Scandal,Sexual Harassment,Gender,Male,PM's Position in EU Integration,Neutral,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,PM's Scandal,No Scandal,Misreporting Funds,Male,Oppose EU Integration,Oppose EU Integration,Liberal Democrats,Conservative Party,Plagiarism
103,155.245.28.10,100,27,TRUE,2018/5/30 08:04,R_2ziQ4YGT0CH1FNY,,,,,51.90859985,0.920898438,anonymous,EN,0,0,2.422,0,11.433,11.433,12.27,1,Minister 1,10.401,10.401,11.441,1,Minister 2,PM's Position in EU Integration,Neutral,PM's Scandal,Having an Extramarital Affair,Gender,Female,Scandal,No Scandal,EU Integration,Neutral,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Neutral,Misreporting Funds,Female,Misreporting Funds,Support EU Integration,Conservative Party,Conservative Party,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Misreporting Funds,Gender,Female,Scandal,Plagiarism,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,Oppose EU Integration,No Scandal,Female,Plagiarism,Support EU Integration,Conservative Party,Conservative Party
104,155.245.28.2,100,58,TRUE,2018/5/30 08:05,R_2pJHOONPCZjRQXA,,,,,51.90859985,0.920898438,anonymous,EN,0,0,6.311,0,23.12,24.054,24.458,2,Minister 1,24.982,24.982,27.95,1,Minister 1,PM's Position in EU Integration,Neutral,PM's Partisanship,Labour Party,PM's Scandal,Having an Extramarital Affair,EU Integration,Neutral,Scandal,No Scandal,Party Affiliation,Labour Party,Gender,Female,Support EU Integration,Conservative Party,Sexual Harassment,Oppose EU Integration,Having an Extramarital Affair,Liberal Democrats,Male,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Plagiarism,EU Integration,Support EU Integration,Scandal,Sexual Harassment,Party Affiliation,Liberal Democrats,Gender,Female,Oppose EU Integration,Labour Party,Misreporting Funds,Neutral,Sexual Harassment,Labour Party,Male
105,155.245.28.9,100,51,TRUE,2018/5/30 08:07,R_2WGVqF62xr4ilAv,,,,,51.90859985,0.920898438,anonymous,EN,0,0,19.006,0,14.251,14.251,15.511,1,Minister 2,16.773,16.773,18.045,1,Minister 2,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,PM's Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Gender,Male,Conservative Party,Liberal Democrats,Misreporting Funds,Support EU Integration,No Scandal,Neutral,Female,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,Scandal,Sexual Harassment,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Plagiarism,EU Integration,Oppose EU Integration,Gender,Male,Conservative Party,Conservative Party,Plagiarism,Oppose EU Integration,No Scandal,Neutral,Female
106,155.245.28.8,100,18,TRUE,2018/5/30 08:33,R_Zl9aB2ucNRgSHIt,,,,,51.90859985,0.920898438,anonymous,EN,0,0,5.261,0,4.982,4.982,5.987,1,Minister 1,4.338,4.338,5.121,1,Minister 2,EU Integration,Support EU Integration,Gender,Male,Scandal,No Scandal,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Oppose EU Integration,Female,Having an Extramarital Affair,Neutral,Conservative Party,No Scandal,Liberal Democrats,EU Integration,Oppose EU Integration,Gender,Female,Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,Party Affiliation,Liberal Democrats,Support EU Integration,Male,Having an Extramarital Affair,Neutral,Conservative Party,No Scandal,Conservative Party
107,155.245.28.2,100,39,TRUE,2018/5/30 08:34,R_1IpdP6kZelUCFpf,,,,,51.90859985,0.920898438,anonymous,EN,0,0,14.599,0,12.499,12.499,13.812,1,Minister 2,9.631,9.631,10.695,1,Minister 2,EU Integration,Support EU Integration,Scandal,Plagiarism,PM's Partisanship,Labour Party,Gender,Female,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,Party Affiliation,Labour Party,Support EU Integration,Misreporting Funds,Labour Party,Female,Sexual Harassment,Support EU Integration,Labour Party,EU Integration,Neutral,Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,Gender,Female,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,Support EU Integration,Plagiarism,Labour Party,Male,Having an Extramarital Affair,Neutral,Labour Party
108,155.245.28.10,100,44,TRUE,2018/5/30 08:34,R_9A1lrqFZth49qXn,,,,,51.90859985,0.920898438,anonymous,EN,0,0,9.506,0,6.688,6.688,10.494,1,Minister 2,14.492,14.492,25.032,1,Minister 2,Party Affiliation,Conservative Party,PM's Position in EU Integration,Neutral,Gender,Male,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Plagiarism,Scandal,Having an Extramarital Affair,Liberal Democrats,Support EU Integration,Female,Neutral,Conservative Party,No Scandal,No Scandal,Party Affiliation,Liberal Democrats,PM's Position in EU Integration,Support EU Integration,Gender,Male,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,No Scandal,Scandal,Plagiarism,Labour Party,Support EU Integration,Female,Oppose EU Integration,Labour Party,Misreporting Funds,Having an Extramarital Affair
109,155.245.28.4,100,43,TRUE,2018/5/30 08:35,R_2t9ZbwqCqSWPxGh,,,,,51.90859985,0.920898438,anonymous,EN,0,0,5.373,0,28.501,28.501,29.584,1,Minister 1,7.069,7.389,8.339,2,Minister 2,PM's Scandal,Sexual Harassment,PM's Partisanship,Labour Party,Scandal,Having an Extramarital Affair,Gender,Male,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Support EU Integration,Having an Extramarital Affair,Conservative Party,Plagiarism,Female,Liberal Democrats,Oppose EU Integration,Support EU Integration,PM's Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,Scandal,Sexual Harassment,Gender,Female,Party Affiliation,Liberal Democrats,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Neutral,Sexual Harassment,Labour Party,No Scandal,Female,Labour Party,Neutral,Support EU Integration
110,155.245.28.12,100,76,TRUE,2018/5/30 08:37,R_1dM1BBqQDZpY2ya,,,,,51.90859985,0.920898438,anonymous,EN,0,0,45.262,0,12.822,16.292,18.644,2,Minister 2,11.83,12.574,14.537,2,Minister 1,Gender,Female,PM's Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Scandal,Sexual Harassment,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Male,Misreporting Funds,Labour Party,Oppose EU Integration,No Scandal,Oppose EU Integration,Labour Party,Gender,Female,PM's Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,Scandal,No Scandal,EU Integration,Neutral,Party Affiliation,Liberal Democrats,Male,Having an Extramarital Affair,Conservative Party,Neutral,Sexual Harassment,Neutral,Conservative Party
111,155.245.28.2,100,60,TRUE,2018/5/30 09:06,R_1DU3mF9mN4I0O3s,,,,,51.90859985,0.920898438,anonymous,EN,0,0,14.188,0,16.779,16.779,17.961,1,Minister 2,27.38,27.38,28.259,1,Minister 2,Gender,Female,Scandal,Misreporting Funds,PM's Partisanship,Labour Party,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Sexual Harassment,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,Male,No Scandal,Labour Party,Oppose EU Integration,Plagiarism,Labour Party,Support EU Integration,Gender,Male,Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,PM's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Female,Having an Extramarital Affair,Conservative Party,Oppose EU Integration,Sexual Harassment,Liberal Democrats,Support EU Integration
112,155.245.28.9,100,54,TRUE,2018/5/30 09:06,R_3kFETYE8FlCPCwb,,,,,51.90859985,0.920898438,anonymous,EN,26.056,26.056,26.609,1,17.352,17.727,18.846,2,Minister 1,9.121,9.121,10.138,1,Minister 1,PM's Partisanship,Labour Party,Scandal,Plagiarism,EU Integration,Neutral,Party Affiliation,Labour Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,PM's Scandal,Plagiarism,Labour Party,Sexual Harassment,Neutral,Labour Party,Oppose EU Integration,Female,Sexual Harassment,PM's Partisanship,Labour Party,Scandal,No Scandal,EU Integration,Support EU Integration,Party Affiliation,Labour Party,PM's Position in EU Integration,Neutral,Gender,Female,PM's Scandal,No Scandal,Labour Party,Plagiarism,Support EU Integration,Labour Party,Oppose EU Integration,Female,No Scandal
113,155.245.28.8,100,55,TRUE,2018/5/30 09:07,R_79A74joxVH1zoQh,,,,,51.90859985,0.920898438,anonymous,EN,0,0,18.517,0,11.722,12.29,13.76,2,Minister 2,17.474,17.474,24.034,1,Minister 2,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Gender,Female,Scandal,No Scandal,Party Affiliation,Conservative Party,PM's Scandal,Misreporting Funds,Neutral,Conservative Party,Support EU Integration,Female,Sexual Harassment,Liberal Democrats,Plagiarism,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,EU Integration,Neutral,Gender,Male,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,PM's Scandal,Plagiarism,Neutral,Conservative Party,Neutral,Female,Plagiarism,Conservative Party,Sexual Harassment
114,155.245.28.8,100,22,TRUE,2018/5/30 10:04,R_PFzNSN8pRuw3ol3,,,,,51.90859985,0.920898438,anonymous,EN,0,0,4.928,0,8.696,9.169,9.452,2,Minister 2,5.972,5.972,6.692,1,Minister 2,EU Integration,Oppose EU Integration,Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,Gender,Female,Party Affiliation,Liberal Democrats,PM's Scandal,Sexual Harassment,Oppose EU Integration,Sexual Harassment,Neutral,Conservative Party,Female,Liberal Democrats,Misreporting Funds,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Gender,Female,Party Affiliation,Conservative Party,PM's Scandal,Sexual Harassment,Neutral,Misreporting Funds,Neutral,Conservative Party,Female,Liberal Democrats,No Scandal
115,155.245.28.4,100,22,TRUE,2018/5/30 10:07,R_3ekug48fnMLl8A0,,,,,51.90859985,0.920898438,anonymous,EN,0,0,3.467,0,8.201,9.858,10.589,2,Minister 2,6.425,6.425,7.186,1,Minister 2,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,Scandal,Sexual Harassment,EU Integration,Support EU Integration,Gender,Male,PM's Scandal,Misreporting Funds,Oppose EU Integration,Labour Party,Labour Party,Having an Extramarital Affair,Neutral,Male,Plagiarism,PM's Position in EU Integration,Neutral,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,Scandal,Misreporting Funds,EU Integration,Neutral,Gender,Male,PM's Scandal,Having an Extramarital Affair,Oppose EU Integration,Conservative Party,Conservative Party,No Scandal,Oppose EU Integration,Male,Sexual Harassment
116,155.245.28.2,100,29,TRUE,2018/5/30 10:12,R_RP3H4hoKSdMjjfH,,,,,51.90859985,0.920898438,anonymous,EN,0,0,2.845,0,16.671,16.671,18.642,1,Minister 1,4.657,6.145,6.945,2,Minister 1,Gender,Female,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,PM's Scandal,Having an Extramarital Affair,Scandal,No Scandal,Female,Support EU Integration,Conservative Party,Neutral,Liberal Democrats,Sexual Harassment,Misreporting Funds,Gender,Female,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,Party Affiliation,Liberal Democrats,PM's Scandal,Having an Extramarital Affair,Scandal,No Scandal,Male,Neutral,Conservative Party,Oppose EU Integration,Liberal Democrats,Sexual Harassment,Having an Extramarital Affair
117,155.245.28.13,100,23,TRUE,2018/6/4 05:37,R_Odk4yf3XOf6C0NP,,,,,51.90859985,0.920898438,anonymous,EN,0,0,12.564,0,5.463,5.463,8.592,1,Minister 1,0.496,0.496,1.636,1,Minister 1,Gender,Female,PM's Partisanship,Conservative Party,Scandal,Plagiarism,PM's Position in EU Integration,Support EU Integration,PM's Scandal,No Scandal,Party Affiliation,Liberal Democrats,EU Integration,Oppose EU Integration,Female,Conservative Party,Plagiarism,Oppose EU Integration,Plagiarism,Conservative Party,Support EU Integration,Gender,Male,PM's Partisanship,Conservative Party,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Sexual Harassment,Party Affiliation,Liberal Democrats,EU Integration,Oppose EU Integration,Female,Conservative Party,Misreporting Funds,Support EU Integration,No Scandal,Conservative Party,Neutral
118,155.245.28.31,100,18,TRUE,2018/6/4 05:37,R_Pv8IHbRv68FHZC1,,,,,51.90859985,0.920898438,anonymous,EN,0,0,2.307,0,11.536,11.536,12.545,1,Minister 1,0.308,0.308,1.605,1,Minister 1,EU Integration,Oppose EU Integration,PM's Scandal,Sexual Harassment,Gender,Female,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,Support EU Integration,Misreporting Funds,Female,Liberal Democrats,Misreporting Funds,Neutral,Conservative Party,EU Integration,Support EU Integration,PM's Scandal,Plagiarism,Gender,Male,Party Affiliation,Liberal Democrats,Scandal,No Scandal,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Oppose EU Integration,Misreporting Funds,Male,Labour Party,Having an Extramarital Affair,Oppose EU Integration,Labour Party
119,155.245.28.11,100,16,TRUE,2018/6/4 05:38,R_BJpq1xFLucBbz5D,,,,,51.90859985,0.920898438,anonymous,EN,0,0,1.93,0,7.534,7.534,8.793,1,Minister 1,3.331,3.331,4.323,1,Minister 1,EU Integration,Neutral,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,PM's Scandal,No Scandal,Party Affiliation,Conservative Party,Gender,Female,Scandal,Having an Extramarital Affair,Neutral,Conservative Party,Oppose EU Integration,Misreporting Funds,Liberal Democrats,Male,Plagiarism,EU Integration,Neutral,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,PM's Scandal,No Scandal,Party Affiliation,Liberal Democrats,Gender,Female,Scandal,No Scandal,Oppose EU Integration,Labour Party,Support EU Integration,Misreporting Funds,Labour Party,Female,Sexual Harassment
120,155.245.28.15,100,36,TRUE,2018/6/4 05:39,R_3inbM2V4dXB0UFf,,,,,51.90859985,0.920898438,anonymous,EN,0,0,9.076,0,13.521,13.521,16.136,1,Minister 1,8.982,8.982,10.56,1,Minister 1,Party Affiliation,Conservative Party,Scandal,No Scandal,Gender,Female,PM's Partisanship,Conservative Party,PM's Scandal,Plagiarism,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Oppose EU Integration,Liberal Democrats,Plagiarism,Male,Conservative Party,Having an Extramarital Affair,Neutral,Oppose EU Integration,Party Affiliation,Labour Party,Scandal,Sexual Harassment,Gender,Male,PM's Partisanship,Labour Party,PM's Scandal,Plagiarism,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Support EU Integration,Conservative Party,Sexual Harassment,Female,Conservative Party,Plagiarism,Neutral,Oppose EU Integration
121,155.245.28.18,100,26,TRUE,2018/6/4 05:39,R_A0Po4yX8OsPjWRb,,,,,51.90859985,0.920898438,anonymous,EN,0,0,6.569,0,8.46,8.46,9.48,1,Minister 1,7.869,7.869,8.903,1,Minister 1,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,PM's Scandal,No Scandal,Gender,Female,Party Affiliation,Liberal Democrats,Support EU Integration,Labour Party,Oppose EU Integration,No Scandal,No Scandal,Male,Labour Party,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,Scandal,Sexual Harassment,PM's Scandal,Misreporting Funds,Gender,Male,Party Affiliation,Conservative Party,Neutral,Conservative Party,Oppose EU Integration,Plagiarism,Sexual Harassment,Male,Liberal Democrats
122,155.245.28.20,100,53,TRUE,2018/6/4 05:39,R_3nIYuIpSVjF88fY,,,,,51.90859985,0.920898438,anonymous,EN,0,0,29.473,0,10.59,13.352,15.596,2,Minister 2,7.446,7.446,8.739,1,Minister 1,Gender,Female,Party Affiliation,Labour Party,Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,PM's Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,Female,Labour Party,Sexual Harassment,Support EU Integration,No Scandal,Neutral,Labour Party,Gender,Female,Party Affiliation,Conservative Party,Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,PM's Scandal,Plagiarism,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,Female,Labour Party,Sexual Harassment,Neutral,Sexual Harassment,Support EU Integration,Labour Party
123,155.245.28.28,100,13,TRUE,2018/6/4 05:39,R_un3TntrsemzFVwl,,,,,51.90859985,0.920898438,anonymous,EN,0,0,5.048,0,3.621,3.621,4.436,1,Minister 1,1.217,1.217,2.008,1,Minister 2,PM's Position in EU Integration,Neutral,Scandal,Sexual Harassment,Party Affiliation,Liberal Democrats,PM's Scandal,No Scandal,Gender,Female,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,Oppose EU Integration,No Scandal,Liberal Democrats,Misreporting Funds,Male,Conservative Party,Support EU Integration,PM's Position in EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,PM's Scandal,Sexual Harassment,Gender,Female,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,Support EU Integration,Misreporting Funds,Conservative Party,Having an Extramarital Affair,Female,Conservative Party,Neutral
