,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First.Click,Q1_Last.Click,Q1_Page.Submit,Q1_Click.Count,Q3_First.Click,Q3_Last.Click,Q3_Page.Submit,Q3_Click.Count,Q4,Q5_First.Click,Q5_Last.Click,Q5_Page.Submit,Q5_Click.Count,Q6,F.1.1,F.1.1.1,F.1.2,F.1.1.2,F.1.3,F.1.1.3,F.1.4,F.1.1.4,F.1.5,F.1.1.5,F.1.6,F.1.1.6,F.1.2.1,F.1.2.2,F.1.2.3,F.1.2.4,F.1.2.5,F.1.2.6,F.2.1,F.2.1.1,F.2.2,F.2.1.2,F.2.3,F.2.1.3,F.2.4,F.2.1.4,F.2.5,F.2.1.5,F.2.6,F.2.1.6,F.2.2.1,F.2.2.2,F.2.2.3,F.2.2.4,F.2.2.5,F.2.2.6
302,155.245.62.47,100,25,TRUE,2018/6/19 07:48,R_wRjMR1am4J4BRFD,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0,0,4.522,0,9.347,9.347,10.711,1,Prime Minister 1,8.538,8.538,9.345,1,Prime Minister 2,Party Affiliation,Labour Party,Minister's Scandal,Plagiarism,EU Integration,Support EU Integration,Minister's Partisanship,Labour Party,Scandal,No Scandal,Gender,Female,Conservative Party,Plagiarism,Oppose EU Integration,Conservative Party,No Scandal,Female,Party Affiliation,Conservative Party,Minister's Scandal,No Scandal,EU Integration,Oppose EU Integration,Minister's Partisanship,Conservative Party,Scandal,Sexual Harassment,Gender,Female,Conservative Party,Plagiarism,Neutral,Liberal Democrats,Having an Extranarital Affair,Male
303,155.245.69.102,100,42,TRUE,2018/6/19 07:57,R_270QQFB9F3tjxIk,NA,NA,NA,NA,51.93649292,1.278305054,anonymous,EN,0,0,15.6,0,8.89,8.89,15.63,1,Prime Minister 1,7.291,7.291,10.212,1,Prime Minister 1,Scandal,Plagiarism,EU Integration,Neutral,Gender,Female,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Minister's Scandal,Plagiarism,No Scandal,Oppose EU Integration,Female,Labour Party,Labour Party,Having an Extramarital Affair,Scandal,No Scandal,EU Integration,Oppose EU Integration,Gender,Female,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Minister's Scandal,No Scandal,Sexual Harassment,Neutral,Female,Liberal Democrats,Conservative Party,No Scandal
304,213.205.251.27,100,35,TRUE,2018/6/19 08:00,R_YPPzV7M2Azz7vq1,NA,NA,NA,NA,51.55000305,0.166702271,anonymous,EN,5.106,6.471,7.272,2,0.038,13.109,13.838,5,Prime Minister 2,2.383,7.852,8.766,6,Prime Minister 1,Minister's Scandal,Misreporting Funds,Gender,Female,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Scandal,Plagiarism,EU Integration,Oppose EU Integration,Misreporting Funds,Male,Conservative Party,Conservative Party,Misreporting Funds,Neutral,Minister's Scandal,Plagiarism,Gender,Female,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Scandal,Plagiarism,EU Integration,Oppose EU Integration,Having an Extramarital Affair,Female,Liberal Democrats,Conservative Party,Sexual Harassment,Neutral
305,155.245.155.242,100,97,TRUE,2018/6/19 08:00,R_1oF8gXnEKjzv36N,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,2.517,32.846,35.154,8,13.111,46.581,47.48,10,Prime Minister 2,1.248,9.297,9.995,4,Prime Minister 2,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,Minister's Scandal,Misreporting Funds,Gender,Female,Scandal,Plagiarism,Conservative Party,Conservative Party,Oppose EU Integration,Having an Extramarital Affair,Male,Plagiarism,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,Minister's Scandal,Misreporting Funds,Gender,Female,Scandal,Having an Extranarital Affair,Conservative Party,Conservative Party,Support EU Integration,Plagiarism,Female,Having an Extranarital Affair
306,81.135.1.48,100,92,TRUE,2018/6/19 08:01,R_3mepBYhzKjCjRRx,NA,NA,NA,NA,51.89660645,-0.634506226,anonymous,EN,21.985,21.985,24.125,1,45.674,54.873,56.186,3,Prime Minister 1,5.547,7.982,11.469,2,Prime Minister 1,Party Affiliation,Conservative Party,Gender,Female,Scandal,Plagiarism,Minister's Scandal,Plagiarism,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,Labour Party,Male,Having an Extranarital Affair,Misreporting Funds,Labour Party,Neutral,Party Affiliation,Conservative Party,Gender,Female,Scandal,No Scandal,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Conservative Party,EU Integration,Support EU Integration,Labour Party,Female,Sexual Harassment,Sexual Harassment,Labour Party,Oppose EU Integration
307,86.135.29.157,100,103,TRUE,2018/6/19 08:02,R_3hopQJHmbms8gnH,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,45.609,45.609,53.488,1,20.319,22.277,23.494,3,Prime Minister 1,22.943,22.965,24.778,2,Prime Minister 2,EU Integration,Neutral,Scandal,No Scandal,Gender,Male,Minister's Scandal,No Scandal,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Oppose EU Integration,Having an Extranarital Affair,Male,Misreporting Funds,Labour Party,Labour Party,EU Integration,Oppose EU Integration,Scandal,Plagiarism,Gender,Male,Minister's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Neutral,No Scandal,Female,Plagiarism,Conservative Party,Conservative Party
308,86.11.249.25,100,34,TRUE,2018/6/19 08:02,R_1i4Ghkr0Mium0Fz,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,7.874,14.658,17.189,5,0.949,12.321,12.877,8,Prime Minister 1,0.816,1.366,2.722,3,Prime Minister 2,Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,EU Integration,Neutral,Gender,Female,Party Affiliation,Conservative Party,Minister's Scandal,Plagiarism,No Scandal,Conservative Party,Neutral,Male,Conservative Party,Having an Extramarital Affair,Scandal,No Scandal,Minister's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Gender,Female,Party Affiliation,Labour Party,Minister's Scandal,Having an Extramarital Affair,No Scandal,Labour Party,Oppose EU Integration,Male,Labour Party,Misreporting Funds
309,217.9.203.114,100,59,TRUE,2018/6/19 08:07,R_1GBr6oYKH41lKfN,NA,NA,NA,NA,53.16670227,-3.083297729,anonymous,EN,15.118,19.861,21.291,4,1.266,14.761,15.455,4,Prime Minister 2,2.444,19.346,19.99,5,Prime Minister 2,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Gender,Female,Scandal,Having an Extranarital Affair,EU Integration,Oppose EU Integration,Minister's Scandal,Misreporting Funds,Conservative Party,Conservative Party,Female,Having an Extranarital Affair,Oppose EU Integration,Misreporting Funds,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Gender,Female,Scandal,Sexual Harassment,EU Integration,Support EU Integration,Minister's Scandal,Having an Extramarital Affair,Liberal Democrats,Conservative Party,Female,No Scandal,Oppose EU Integration,Having an Extramarital Affair
310,155.245.56.74,100,98,TRUE,2018/6/19 08:11,R_2duVCpSBRKLHXc9,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,16.827,16.827,35.661,1,37.136,37.136,38.334,1,Prime Minister 2,27.275,27.275,28.447,1,Prime Minister 1,Gender,Male,EU Integration,Oppose EU Integration,Scandal,Plagiarism,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Minister's Scandal,No Scandal,Female,Neutral,Sexual Harassment,Liberal Democrats,Conservative Party,Having an Extramarital Affair,Gender,Female,EU Integration,Oppose EU Integration,Scandal,No Scandal,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,Male,Oppose EU Integration,Having an Extranarital Affair,Conservative Party,Conservative Party,Plagiarism
311,217.43.97.236,100,82,TRUE,2018/6/19 08:12,R_6x7CbV591oGxjIl,NA,NA,NA,NA,51.73210144,-1.206298828,anonymous,EN,10.455,14.998,16.371,4,2.123,30.281,34.036,8,Prime Minister 2,1.19,28.725,30.676,5,Prime Minister 1,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Gender,Male,Minister's Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Scandal,Plagiarism,Conservative Party,Conservative Party,Male,Misreporting Funds,Oppose EU Integration,Having an Extranarital Affair,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Gender,Female,Minister's Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Scandal,Plagiarism,Labour Party,Labour Party,Female,Plagiarism,Neutral,Sexual Harassment
312,82.145.55.37,100,52,TRUE,2018/6/19 08:16,R_2XdibUSyWrZ3ZNd,NA,NA,NA,NA,51.49639893,-0.122406006,anonymous,EN,12.323,21.218,22.21,3,0.555,11.362,12.45,4,Prime Minister 1,1.592,2.439,3.327,4,Prime Minister 2,Minister's Scandal,Having an Extramarital Affair,Scandal,Having an Extranarital Affair,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Gender,Male,Sexual Harassment,Having an Extranarital Affair,Labour Party,Labour Party,Oppose EU Integration,Male,Minister's Scandal,Sexual Harassment,Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Gender,Female,Misreporting Funds,Plagiarism,Liberal Democrats,Conservative Party,Neutral,Male
313,90.218.93.254,100,211,TRUE,2018/6/19 08:29,R_2UfHDL3F6oYy0Ad,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,15.535,62.051,66.044,7,48.32,98.415,100.554,6,Prime Minister 1,52.162,58.317,59.846,5,Prime Minister 1,Scandal,Having an Extranarital Affair,EU Integration,Support EU Integration,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Gender,Female,Sexual Harassment,Support EU Integration,Plagiarism,Labour Party,Labour Party,Female,Scandal,No Scandal,EU Integration,Oppose EU Integration,Minister's Scandal,Plagiarism,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Gender,Female,Misreporting Funds,Neutral,Sexual Harassment,Conservative Party,Conservative Party,Male
314,90.252.28.83,100,37,TRUE,2018/6/19 08:29,R_a4NLeXaLLAP55Lz,NA,NA,NA,NA,50.86669922,-1.016693115,anonymous,EN,0,0,16.261,0,7.982,7.982,10.307,1,Prime Minister 2,7.967,7.967,9.513,1,Prime Minister 2,EU Integration,Neutral,Party Affiliation,Conservative Party,Minister's Scandal,No Scandal,Minister's Partisanship,Conservative Party,Gender,Female,Scandal,Having an Extranarital Affair,Neutral,Labour Party,No Scandal,Labour Party,Female,No Scandal,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Liberal Democrats,Gender,Male,Scandal,Plagiarism,Support EU Integration,Labour Party,Plagiarism,Labour Party,Female,Sexual Harassment
316,86.154.46.108,100,45,TRUE,2018/6/19 08:58,R_1KpdpKjEcYxP5P6,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0,0,15.21,0,9.459,9.467,14.17,2,Prime Minister 1,13.073,13.077,14.56,2,Prime Minister 1,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Minister's Scandal,Misreporting Funds,Gender,Male,Scandal,Plagiarism,Minister's Partisanship,Labour Party,Oppose EU Integration,Conservative Party,Misreporting Funds,Female,Plagiarism,Liberal Democrats,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Gender,Male,Scandal,No Scandal,Minister's Partisanship,Conservative Party,Neutral,Conservative Party,Misreporting Funds,Male,Having an Extranarital Affair,Conservative Party
