,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First.Click,Q1_Last.Click,Q1_Page.Submit,Q1_Click.Count,Q2,Q3_First.Click,Q3_Last.Click,Q3_Page.Submit,Q3_Click.Count,Q4,F.1.1,F.1.1.1,F.1.2,F.1.1.2,F.1.3,F.1.1.3,F.1.4,F.1.1.4,F.1.5,F.1.1.5,F.1.6,F.1.1.6,F.1.7,F.1.1.7,F.1.2.1,F.1.2.2,F.1.2.3,F.1.2.4,F.1.2.5,F.1.2.6,F.1.2.7,F.2.1,F.2.1.1,F.2.2,F.2.1.2,F.2.3,F.2.1.3,F.2.4,F.2.1.4,F.2.5,F.2.1.5,F.2.6,F.2.1.6,F.2.7,F.2.1.7,F.2.2.1,F.2.2.2,F.2.2.3,F.2.2.4,F.2.2.5,F.2.2.6,F.2.2.7
292,86.1.184.137,100,14,TRUE,2018/6/19 07:18,R_2sXYqJKXCmsXsUI,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,2.111,5.8,6.452,5,Minister 2,2.819,6.135,6.819,4,Minister 2,EU Integration,Oppose EU Integration,PM's Scandal,Sexual Harassment,Scandal,Having an Extramarital Affair,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,Gender,Male,PM's Position in EU Integration,Neutral,Neutral,Sexual Harassment,No Scandal,Labour Party,Labour Party,Female,Support EU Integration,EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,Scandal,Having an Extramarital Affair,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,Gender,Female,PM's Position in EU Integration,Support EU Integration,Oppose EU Integration,No Scandal,Misreporting Funds,Labour Party,Labour Party,Female,Support EU Integration
293,90.255.21.138,100,38,TRUE,2018/6/19 07:21,R_2xztfHcM2s8YoF3,NA,NA,NA,NA,51.5,-0.116699219,anonymous,EN,19.195,19.195,20.124,1,Minister 2,12.854,12.854,13.771,1,Minister 2,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,Scandal,Misreporting Funds,PM's Scandal,Plagiarism,PM's Partisanship,Labour Party,Neutral,Conservative Party,Support EU Integration,Female,Misreporting Funds,No Scandal,Conservative Party,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,Scandal,Having an Extramarital Affair,PM's Scandal,No Scandal,PM's Partisanship,Conservative Party,Support EU Integration,Liberal Democrats,Support EU Integration,Male,Sexual Harassment,Misreporting Funds,Conservative Party
294,84.92.90.30,100,19,TRUE,2018/6/19 07:26,R_2Pk9vcjLMc5EXNe,NA,NA,NA,NA,51.65719604,0.760803223,anonymous,EN,1.801,12.246,12.805,8,Minister 2,1.206,4.109,5.242,4,Minister 1,PM's Partisanship,Labour Party,PM's Scandal,No Scandal,PM's Position in EU Integration,Support EU Integration,Scandal,No Scandal,EU Integration,Neutral,Party Affiliation,Labour Party,Gender,Female,Conservative Party,Having an Extramarital Affair,Oppose EU Integration,Having an Extramarital Affair,Oppose EU Integration,Conservative Party,Female,PM's Partisanship,Conservative Party,PM's Scandal,No Scandal,PM's Position in EU Integration,Neutral,Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Gender,Male,Conservative Party,Plagiarism,Support EU Integration,Misreporting Funds,Neutral,Conservative Party,Male
295,81.147.69.209,100,56,TRUE,2018/6/19 07:28,R_2zvGJQUIlyGilHH,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,21.958,24.003,24.626,3,Minister 1,22.062,23.901,25.005,3,Minister 2,Gender,Male,EU Integration,Support EU Integration,PM's Position in EU Integration,Neutral,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,PM's Scandal,Plagiarism,Scandal,No Scandal,Male,Support EU Integration,Oppose EU Integration,Labour Party,Labour Party,Misreporting Funds,Having an Extramarital Affair,Gender,Female,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,PM's Scandal,Having an Extramarital Affair,Scandal,Sexual Harassment,Female,Oppose EU Integration,Oppose EU Integration,Conservative Party,Conservative Party,Having an Extramarital Affair,Having an Extramarital Affair
296,86.14.185.252,100,34,TRUE,2018/6/19 07:30,R_1M3WDMmCWWWmEa7,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,1.05,16.586,17.12,5,Minister 2,1.132,13.115,13.693,5,Minister 1,PM's Partisanship,Labour Party,EU Integration,Oppose EU Integration,PM's Scandal,No Scandal,Scandal,Misreporting Funds,Party Affiliation,Labour Party,Gender,Female,PM's Position in EU Integration,Support EU Integration,Labour Party,Neutral,No Scandal,Misreporting Funds,Labour Party,Male,Support EU Integration,PM's Partisanship,Labour Party,EU Integration,Neutral,PM's Scandal,No Scandal,Scandal,Plagiarism,Party Affiliation,Labour Party,Gender,Female,PM's Position in EU Integration,Neutral,Conservative Party,Oppose EU Integration,Misreporting Funds,Plagiarism,Liberal Democrats,Female,Oppose EU Integration
297,147.147.162.56,100,44,TRUE,2018/6/19 07:32,R_10qhtYchWVC8Pxu,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,13.026,13.026,14.936,1,Minister 1,27.019,27.019,28.293,1,Minister 2,Party Affiliation,Liberal Democrats,Scandal,No Scandal,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,EU Integration,Neutral,PM's Partisanship,Conservative Party,Gender,Female,Liberal Democrats,Having an Extramarital Affair,Sexual Harassment,Support EU Integration,Neutral,Conservative Party,Female,Party Affiliation,Conservative Party,Scandal,Having an Extramarital Affair,PM's Scandal,No Scandal,PM's Position in EU Integration,Neutral,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Gender,Male,Conservative Party,No Scandal,Sexual Harassment,Neutral,Neutral,Conservative Party,Female
298,82.132.218.185,100,20,TRUE,2018/6/19 07:35,R_2Vdz2NkkUiCoT6E,NA,NA,NA,NA,51.51669312,-0.333297729,anonymous,EN,1.341,6.966,8.828,5,Minister 1,0.604,9.171,9.785,7,Minister 2,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,Gender,Female,Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,PM's Scandal,No Scandal,Conservative Party,Conservative Party,Oppose EU Integration,Female,No Scandal,Neutral,Plagiarism,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,EU Integration,Neutral,Gender,Male,Scandal,Plagiarism,PM's Position in EU Integration,Neutral,PM's Scandal,Sexual Harassment,Conservative Party,Liberal Democrats,Support EU Integration,Female,Having an Extramarital Affair,Support EU Integration,Having an Extramarital Affair
299,86.161.54.232,100,41,TRUE,2018/6/19 07:50,R_3CBdXneUuWHFnUq,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,12.397,13.434,13.904,4,Minister 1,21.769,22.645,23.154,3,Minister 1,Party Affiliation,Liberal Democrats,PM's Position in EU Integration,Support EU Integration,EU Integration,Support EU Integration,Scandal,Plagiarism,Gender,Female,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,Conservative Party,Support EU Integration,Neutral,Sexual Harassment,Female,Conservative Party,Sexual Harassment,Party Affiliation,Labour Party,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Oppose EU Integration,Scandal,Plagiarism,Gender,Female,PM's Partisanship,Labour Party,PM's Scandal,Having an Extramarital Affair,Conservative Party,Neutral,Neutral,Plagiarism,Male,Conservative Party,Sexual Harassment
300,155.245.62.47,100,27,TRUE,2018/6/19 07:50,R_1Ii49dWQerf2AmB,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,10.535,10.535,11.465,1,Minister 2,11.162,13.197,14.475,2,Minister 2,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Scandal,Plagiarism,PM's Scandal,Having an Extramarital Affair,Gender,Female,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,Support EU Integration,Conservative Party,No Scandal,Having an Extramarital Affair,Male,Conservative Party,Support EU Integration,EU Integration,Neutral,Party Affiliation,Liberal Democrats,Scandal,Plagiarism,PM's Scandal,Having an Extramarital Affair,Gender,Female,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Oppose EU Integration,Liberal Democrats,Sexual Harassment,Misreporting Funds,Female,Conservative Party,Neutral
302,155.245.69.102,100,90,TRUE,2018/6/19 08:00,R_10PJudq3KTF1Pbt,NA,NA,NA,NA,51.93649292,1.278305054,anonymous,EN,41.089,41.089,43.305,1,Minister 2,44.46,44.46,45.72,1,Minister 1,Party Affiliation,Liberal Democrats,Gender,Male,EU Integration,Oppose EU Integration,Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,No Scandal,Conservative Party,Male,Neutral,Having an Extramarital Affair,Conservative Party,Oppose EU Integration,No Scandal,Party Affiliation,Conservative Party,Gender,Female,EU Integration,Neutral,Scandal,No Scandal,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,PM's Scandal,No Scandal,Liberal Democrats,Male,Neutral,Misreporting Funds,Conservative Party,Oppose EU Integration,Plagiarism
303,213.205.251.27,100,8,TRUE,2018/6/19 08:01,R_3qdQLIc2yG5ojZv,NA,NA,NA,NA,51.55000305,0.166702271,anonymous,EN,0.76,2.872,3.755,5,Minister 1,1.26,2.069,2.518,3,Minister 2,Gender,Female,Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,PM's Scandal,No Scandal,PM's Position in EU Integration,Neutral,Party Affiliation,Conservative Party,EU Integration,Neutral,Male,Misreporting Funds,Conservative Party,Having an Extramarital Affair,Neutral,Conservative Party,Oppose EU Integration,Gender,Female,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,PM's Scandal,No Scandal,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,EU Integration,Neutral,Female,Misreporting Funds,Conservative Party,Misreporting Funds,Neutral,Liberal Democrats,Oppose EU Integration
304,86.11.249.25,100,12,TRUE,2018/6/19 08:03,R_3e9JZHOOGFqAmd6,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,6.622,7.682,8.368,3,Minister 2,0.412,1.505,1.932,3,Minister 1,Party Affiliation,Conservative Party,Scandal,Having an Extramarital Affair,PM's Scandal,Misreporting Funds,Gender,Male,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Support EU Integration,Labour Party,Sexual Harassment,No Scandal,Female,Labour Party,Oppose EU Integration,Neutral,Party Affiliation,Liberal Democrats,Scandal,No Scandal,PM's Scandal,Plagiarism,Gender,Male,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Neutral,Liberal Democrats,Plagiarism,Plagiarism,Female,Conservative Party,Oppose EU Integration,Neutral
305,155.245.155.242,100,65,TRUE,2018/6/19 08:04,R_1k1yCGjSx99fapE,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,0.982,26.71,27.486,6,Minister 2,24.138,36.63,37.108,7,Minister 1,Gender,Female,Scandal,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Misreporting Funds,Party Affiliation,Liberal Democrats,Male,Having an Extramarital Affair,Neutral,Support EU Integration,Conservative Party,Plagiarism,Liberal Democrats,Gender,Male,Scandal,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,Party Affiliation,Liberal Democrats,Male,Misreporting Funds,Support EU Integration,Support EU Integration,Conservative Party,Plagiarism,Liberal Democrats
306,81.135.1.48,100,33,TRUE,2018/6/19 08:04,R_4GG3qym9OG2sWTD,NA,NA,NA,NA,51.89660645,-0.634506226,anonymous,EN,10.213,12.996,20.116,2,Minister 1,8.558,10.821,12.008,2,Minister 1,Party Affiliation,Labour Party,EU Integration,Neutral,PM's Scandal,No Scandal,Gender,Female,PM's Partisanship,Labour Party,PM's Position in EU Integration,Neutral,Scandal,Having an Extramarital Affair,Labour Party,Neutral,Misreporting Funds,Female,Labour Party,Oppose EU Integration,Having an Extramarital Affair,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,PM's Scandal,Misreporting Funds,Gender,Female,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,Scandal,Plagiarism,Liberal Democrats,Neutral,Plagiarism,Female,Conservative Party,Neutral,Plagiarism
307,86.135.29.157,100,56,TRUE,2018/6/19 08:07,R_9tAQuRKcpUqIT4d,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,28.677,30.675,32.462,4,Minister 2,20.885,22.403,23.683,3,Minister 2,PM's Scandal,Misreporting Funds,Gender,Female,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Sexual Harassment,Male,No Scandal,Conservative Party,Support EU Integration,Conservative Party,Neutral,PM's Scandal,Misreporting Funds,Gender,Female,Scandal,No Scandal,PM's Partisanship,Conservative Party,EU Integration,Neutral,Party Affiliation,Liberal Democrats,PM's Position in EU Integration,Neutral,Plagiarism,Female,Misreporting Funds,Labour Party,Support EU Integration,Labour Party,Neutral
308,217.9.203.114,100,31,TRUE,2018/6/19 08:09,R_1dH1Za6uANBK91O,NA,NA,NA,NA,53.16670227,-3.083297729,anonymous,EN,1.959,16.191,18.824,4,Minister 2,0.732,4.766,10.816,4,Minister 1,PM's Position in EU Integration,Neutral,Scandal,Plagiarism,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,PM's Scandal,Sexual Harassment,Gender,Female,EU Integration,Neutral,Support EU Integration,No Scandal,Conservative Party,Liberal Democrats,Sexual Harassment,Male,Neutral,PM's Position in EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,PM's Scandal,Sexual Harassment,Gender,Female,EU Integration,Neutral,Support EU Integration,Having an Extramarital Affair,Labour Party,Labour Party,Having an Extramarital Affair,Female,Oppose EU Integration
309,155.245.56.74,100,55,TRUE,2018/6/19 08:14,R_1IgXvPwfY5keB6w,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,17.829,17.829,19.228,1,Minister 2,37.709,37.709,38.868,1,Minister 1,EU Integration,Oppose EU Integration,PM's Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,Scandal,No Scandal,Party Affiliation,Liberal Democrats,Support EU Integration,No Scandal,Labour Party,Oppose EU Integration,Female,Plagiarism,Labour Party,EU Integration,Support EU Integration,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,Gender,Male,Scandal,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,Oppose EU Integration,No Scandal,Labour Party,Oppose EU Integration,Female,Having an Extramarital Affair,Labour Party
310,217.43.97.236,100,88,TRUE,2018/6/19 08:16,R_1f90ZC6HqQEizkk,NA,NA,NA,NA,51.73210144,-1.206298828,anonymous,EN,1.52,29.343,30.451,6,Minister 2,5.354,53.281,57.057,4,Minister 1,Scandal,Sexual Harassment,PM's Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Neutral,Party Affiliation,Conservative Party,Gender,Female,Misreporting Funds,Plagiarism,Labour Party,Neutral,Neutral,Labour Party,Female,Scandal,Misreporting Funds,PM's Scandal,Having an Extramarital Affair,PM's Partisanship,Labour Party,EU Integration,Support EU Integration,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Labour Party,Gender,Male,Sexual Harassment,Having an Extramarital Affair,Conservative Party,Oppose EU Integration,Support EU Integration,Conservative Party,Female
311,82.145.55.37,100,26,TRUE,2018/6/19 08:19,R_3lLJblBsNvtFXtD,NA,NA,NA,NA,51.49639893,-0.122406006,anonymous,EN,4.897,10.461,10.959,5,Minister 2,4.336,10.2,14.045,4,Minister 2,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,PM's Scandal,Sexual Harassment,Gender,Female,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Oppose EU Integration,No Scandal,Conservative Party,Conservative Party,Plagiarism,Male,Oppose EU Integration,Support EU Integration,Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,PM's Scandal,Misreporting Funds,Gender,Male,EU Integration,Support EU Integration,PM's Position in EU Integration,Oppose EU Integration,Having an Extramarital Affair,Conservative Party,Liberal Democrats,Misreporting Funds,Male,Support EU Integration,Support EU Integration
312,90.252.28.83,100,23,TRUE,2018/6/19 08:32,R_2TOiEmx6Q8kbsJd,NA,NA,NA,NA,50.86669922,-1.016693115,anonymous,EN,6.933,6.933,8.84,1,Minister 2,10.424,10.424,13.889,1,Minister 2,Gender,Female,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Scandal,Having an Extramarital Affair,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,EU Integration,Neutral,Male,Support EU Integration,Labour Party,Misreporting Funds,Plagiarism,Labour Party,Support EU Integration,Gender,Female,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,Female,Neutral,Labour Party,No Scandal,No Scandal,Labour Party,Oppose EU Integration
313,90.218.93.254,100,121,TRUE,2018/6/19 08:38,R_3K3DxmB09efmJAR,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,54.289,57.462,60.065,2,Minister 2,55.566,61.449,63.384,5,Minister 2,PM's Scandal,Misreporting Funds,Scandal,No Scandal,PM's Partisanship,Conservative Party,Gender,Female,EU Integration,Neutral,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,Having an Extramarital Affair,No Scandal,Conservative Party,Female,Oppose EU Integration,Support EU Integration,Liberal Democrats,PM's Scandal,Misreporting Funds,Scandal,Plagiarism,PM's Partisanship,Conservative Party,Gender,Female,EU Integration,Support EU Integration,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Plagiarism,Misreporting Funds,Labour Party,Female,Oppose EU Integration,Support EU Integration,Labour Party
314,86.154.46.108,100,61,TRUE,2018/6/19 09:02,R_3qkFEytkYBWtYQU,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,23.704,23.611,26.215,2,Minister 1,26.904,32.14,33.933,6,Minister 2,Party Affiliation,Conservative Party,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,PM's Partisanship,Conservative Party,Scandal,Sexual Harassment,EU Integration,Neutral,Conservative Party,Misreporting Funds,Neutral,Female,Conservative Party,Plagiarism,Neutral,Party Affiliation,Labour Party,PM's Scandal,No Scandal,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,PM's Partisanship,Labour Party,Scandal,No Scandal,EU Integration,Support EU Integration,Liberal Democrats,Having an Extramarital Affair,Neutral,Male,Conservative Party,No Scandal,Neutral
